song,performer,date,chart_position,previous_position,peak,weeks_on_chart,hitTF
Dance Monkey,Tones And I,2020-03-07,7,0,0,0,1
Blinding Lights,The Weeknd,2020-03-07,8,0,0,0,1
Memories,Maroon 5,2020-03-07,9,0,0,0,1
Someone You Loved,Lewis Capaldi,2020-03-07,10,0,0,0,1
Intentions,Justin Bieber Featuring Quavo,2020-03-07,11,0,0,0,1
Everything I Wanted,Billie Eilish,2020-03-07,12,0,0,0,1
Heartless,The Weeknd,2020-03-07,13,0,0,0,1
Hot Girl Bummer,blackbear,2020-03-07,14,0,0,0,1
Adore You,Harry Styles,2020-03-07,15,0,0,0,1
"10,000 Hours",Dan + Shay & Justin Bieber,2020-03-07,16,0,0,0,1
Ballin',Mustard & Roddy Ricch,2020-03-07,17,0,0,0,1
BOP,DaBaby,2020-03-07,18,0,0,0,1
The Bones,Maren Morris,2020-03-07,19,0,0,0,1
After Hours,The Weeknd,2020-03-07,20,0,0,0,1
Lose You To Love Me,Selena Gomez,2020-03-07,21,0,0,0,1
My Oh My,Camila Cabello Featuring DaBaby,2020-03-07,22,0,0,0,1
Yummy,Justin Bieber,2020-03-07,23,0,0,0,1
Woah,Lil Baby,2020-03-07,24,0,0,0,1
High Fashion,Roddy Ricch Featuring Mustard,2020-03-07,25,0,0,0,1
You Should Be Sad,Halsey,2020-03-07,26,0,0,0,1
Good As Hell,Lizzo,2020-03-07,27,0,0,0,1
Lil Top,YoungBoy Never Broke Again,2020-03-07,28,0,0,0,1
Falling,Trevor Daniel,2020-03-07,29,0,0,0,1
Dior,Pop Smoke,2020-03-07,30,0,0,0,1
No Guidance,Chris Brown Featuring Drake,2020-03-07,31,0,0,0,1
What A Man Gotta Do,Jonas Brothers,2020-03-07,32,0,0,0,1
Say So,Doja Cat Featuring Nicki Minaj,2020-03-07,33,0,0,0,1
Kinfolks,Sam Hunt,2020-03-07,34,0,0,0,1
Senorita,Shawn Mendes & Camila Cabello,2020-03-07,35,0,0,0,1
Bad Guy,Billie Eilish,2020-03-07,36,0,0,0,1
Godzilla,Eminem Featuring Juice WRLD,2020-03-07,37,0,0,0,1
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,2020-03-07,38,0,0,0,1
Homesick,Kane Brown,2020-03-07,39,0,0,0,1
HIGHEST IN THE ROOM,Travis Scott,2020-03-07,40,0,0,0,1
Trampoline,SHAED,2020-03-07,41,0,0,0,1
One Man Band,Old Dominion,2020-03-07,42,0,0,0,1
Sucker,Jonas Brothers,2020-03-07,43,0,0,0,1
I Don't Care,Ed Sheeran & Justin Bieber,2020-03-07,44,0,0,0,1
I Hope,Gabby Barrett Featuring Charlie Puth,2020-03-07,45,0,0,0,1
Sum 2 Prove,Lil Baby,2020-03-07,46,0,0,0,1
Red Eye,YoungBoy Never Broke Again,2020-03-07,47,0,0,0,1
Only Human,Jonas Brothers,2020-03-07,48,0,0,0,1
Make Me Want To,Jimmie Allen,2020-03-07,49,0,0,0,1
Numbers,"A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track",2020-03-07,50,0,0,0,1
Blueberry Faygo,Lil Mosey,2020-03-07,51,0,0,0,1
Slide,H.E.R. Featuring YG,2020-03-07,52,0,0,0,1
Tusa,Karol G & Nicki Minaj,2020-03-07,53,0,0,0,1
No Time To Die,Billie Eilish,2020-03-07,54,0,0,0,1
Juicy,Doja Cat & Tyga,2020-03-07,55,0,0,0,1
BEST ON EARTH,Russ & BIA,2020-03-07,56,0,0,0,1
Heart On Ice,Rod Wave,2020-03-07,57,0,0,0,1
Fine By Time,YoungBoy Never Broke Again,2020-03-07,58,0,0,0,1
Bad Bad,YoungBoy Never Broke Again,2020-03-07,59,0,0,0,1
Knocked Off,YoungBoy Never Broke Again,2020-03-07,60,0,0,0,1
To Die For,Sam Smith,2020-03-07,61,0,0,0,1
We Back,Jason Aldean,2020-03-07,62,0,0,0,1
Go Stupid,Polo G Featuring NLE Choppa & Stunna 4 Vegas,2020-03-07,63,0,0,0,1
What She Wants Tonight,Luke Bryan,2020-03-07,64,0,0,0,1
Nobody But You,Blake Shelton Duet With Gwen Stefani,2020-03-07,65,0,0,0,1
Suicidal,YNW Melly & Juice WRLD,2020-03-07,66,0,0,0,1
Chasin' You,Morgan Wallen,2020-03-07,67,0,0,0,1
I Wish Grandpas Never Died,Riley Green,2020-03-07,68,0,0,0,1
Out West,JACKBOYS Featuring Young Thug,2020-03-07,69,0,0,0,1
More Hearts Than Mine,Ingrid Andress,2020-03-07,70,0,0,0,1
Moral Of The Story,Ashe Featuring Niall Horan,2020-03-07,71,0,0,0,1
Homemade,Jake Owen,2020-03-07,72,0,0,0,1
Slow Dance In A Parking Lot,Jordan Davis,2020-03-07,73,0,0,0,1
Forever,Justin Bieber Featuring Post Malone & Clever,2020-03-07,74,0,0,0,1
I Hope You're Happy Now,Carly Pearce & Lee Brice,2020-03-07,75,0,0,0,1
Know Your Worth,Khalid x Disclosure,2020-03-07,76,0,0,0,1
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-03-07,77,0,0,0,1
Dive Bar,Garth Brooks & Blake Shelton,2020-03-07,78,0,0,0,1
Make No Sense,YoungBoy Never Broke Again,2020-03-07,79,0,0,0,1
RIP Lil Phat,YoungBoy Never Broke Again,2020-03-07,80,0,0,0,1
Catch,Brett Young,2020-03-07,81,0,0,0,1
Before You Go,Lewis Capaldi,2020-03-07,82,0,0,0,1
TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,2020-03-07,83,0,0,0,1
My Time,BTS,2020-03-07,84,0,0,0,1
Long RD,YoungBoy Never Broke Again,2020-03-07,85,0,0,0,1
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,2020-03-07,86,0,0,0,1
Filter,BTS,2020-03-07,87,0,0,0,1
P*$$y Fairy (OTW),Jhene Aiko,2020-03-07,88,0,0,0,1
Bat Man,YoungBoy Never Broke Again,2020-03-07,89,0,0,0,1
homecoming queen?,Kelsea Ballerini,2020-03-07,90,0,0,0,1
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,2020-03-07,91,0,0,0,1
The Man,Taylor Swift,2020-03-07,92,0,0,0,1
Shake The Room,Pop Smoke Featuring Quavo,2020-03-07,93,0,0,0,1
Rare,Selena Gomez,2020-03-07,94,0,0,0,1
Come Thru,Summer Walker & Usher,2020-03-07,95,0,0,0,1
Ridin' Roads,Dustin Lynch,2020-03-07,96,0,0,0,1
Me And My Guitar,A Boogie Wit da Hoodie,2020-03-07,97,0,0,0,1
Feel Me,Selena Gomez,2020-03-07,98,0,0,0,1
Vete,Bad Bunny,2020-03-07,99,0,0,0,1
SUGAR,BrockHampton,2020-03-07,100,0,0,0,1
The Box,Roddy Ricch,2020-02-29,1,0,0,0,1
Life Is Good,Future Featuring Drake,2020-02-29,2,0,0,0,1
Circles,Post Malone,2020-02-29,3,0,0,0,1
Dance Monkey,Tones And I,2020-02-29,4,0,0,0,1
Don't Start Now,Dua Lipa,2020-02-29,5,0,0,0,1
Roxanne,Arizona Zervas,2020-02-29,6,0,0,0,1
Memories,Maroon 5,2020-02-29,7,0,0,0,1
Someone You Loved,Lewis Capaldi,2020-02-29,8,0,0,0,1
Intentions,Justin Bieber Featuring Quavo,2020-02-29,9,0,0,0,1
Blinding Lights,The Weeknd,2020-02-29,10,0,0,0,1
Yummy,Justin Bieber,2020-02-29,11,0,0,0,1
Everything I Wanted,Billie Eilish,2020-02-29,12,0,0,0,1
"10,000 Hours",Dan + Shay & Justin Bieber,2020-02-29,13,0,0,0,1
Heartless,The Weeknd,2020-02-29,14,0,0,0,1
Hot Girl Bummer,blackbear,2020-02-29,15,0,0,0,1
No Time To Die,Billie Eilish,2020-02-29,16,0,0,0,1
Ballin',Mustard & Roddy Ricch,2020-02-29,17,0,0,0,1
BOP,DaBaby,2020-02-29,18,0,0,0,1
The Bones,Maren Morris,2020-02-29,19,0,0,0,1
Adore You,Harry Styles,2020-02-29,20,0,0,0,1
Lose You To Love Me,Selena Gomez,2020-02-29,21,0,0,0,1
Good As Hell,Lizzo,2020-02-29,22,0,0,0,1
Numbers,"A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track",2020-02-29,23,0,0,0,1
Forever,Justin Bieber Featuring Post Malone & Clever,2020-02-29,24,0,0,0,1
My Oh My,Camila Cabello Featuring DaBaby,2020-02-29,25,0,0,0,1
High Fashion,Roddy Ricch Featuring Mustard,2020-02-29,26,0,0,0,1
Falling,Trevor Daniel,2020-02-29,27,0,0,0,1
Woah,Lil Baby,2020-02-29,28,0,0,0,1
You Should Be Sad,Halsey,2020-02-29,29,0,0,0,1
Bad Guy,Billie Eilish,2020-02-29,30,0,0,0,1
No Guidance,Chris Brown Featuring Drake,2020-02-29,31,0,0,0,1
Senorita,Shawn Mendes & Camila Cabello,2020-02-29,32,0,0,0,1
What A Man Gotta Do,Jonas Brothers,2020-02-29,33,0,0,0,1
Kinfolks,Sam Hunt,2020-02-29,34,0,0,0,1
HIGHEST IN THE ROOM,Travis Scott,2020-02-29,35,0,0,0,1
Godzilla,Eminem Featuring Juice WRLD,2020-02-29,36,0,0,0,1
Trampoline,SHAED,2020-02-29,37,0,0,0,1
One Man Band,Old Dominion,2020-02-29,38,0,0,0,1
I Don't Care,Ed Sheeran & Justin Bieber,2020-02-29,39,0,0,0,1
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,2020-02-29,40,0,0,0,1
Sucker,Jonas Brothers,2020-02-29,41,0,0,0,1
Only Human,Jonas Brothers,2020-02-29,42,0,0,0,1
Homesick,Kane Brown,2020-02-29,43,0,0,0,1
I Hope,Gabby Barrett Featuring Charlie Puth,2020-02-29,44,0,0,0,1
Truth Hurts,Lizzo,2020-02-29,45,0,0,0,1
To Die For,Sam Smith,2020-02-29,46,0,0,0,1
Tusa,Karol G & Nicki Minaj,2020-02-29,47,0,0,0,1
g n f (Give No Fxk),"Migos, Young Thug & Travis Scott",2020-02-29,48,0,0,0,1
Dior,Pop Smoke,2020-02-29,49,0,0,0,1
Sum 2 Prove,Lil Baby,2020-02-29,50,0,0,0,1
Say So,Doja Cat Featuring Nicki Minaj,2020-02-29,51,0,0,0,1
Juicy,Doja Cat & Tyga,2020-02-29,52,0,0,0,1
Make Me Want To,Jimmie Allen,2020-02-29,53,0,0,0,1
Blueberry Faygo,Lil Mosey,2020-02-29,54,0,0,0,1
Slide,H.E.R. Featuring YG,2020-02-29,55,0,0,0,1
Suicidal,YNW Melly & Juice WRLD,2020-02-29,56,0,0,0,1
BEST ON EARTH,Russ & BIA,2020-02-29,57,0,0,0,1
Me And My Guitar,A Boogie Wit da Hoodie,2020-02-29,58,0,0,0,1
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,2020-02-29,59,0,0,0,1
Go Stupid,Polo G Featuring NLE Choppa & Stunna 4 Vegas,2020-02-29,60,0,0,0,1
Heart On Ice,Rod Wave,2020-02-29,61,0,0,0,1
Bandit,Juice WRLD & YoungBoy Never Broke Again,2020-02-29,62,0,0,0,1
Nobody But You,Blake Shelton Duet With Gwen Stefani,2020-02-29,63,0,0,0,1
What She Wants Tonight,Luke Bryan,2020-02-29,64,0,0,0,1
I Hope You're Happy Now,Carly Pearce & Lee Brice,2020-02-29,65,0,0,0,1
Might Not Give Up,A Boogie Wit da Hoodie Featuring Young Thug,2020-02-29,66,0,0,0,1
I Wish Grandpas Never Died,Riley Green,2020-02-29,67,0,0,0,1
Out West,JACKBOYS Featuring Young Thug,2020-02-29,68,0,0,0,1
We Back,Jason Aldean,2020-02-29,69,0,0,0,1
More Hearts Than Mine,Ingrid Andress,2020-02-29,70,0,0,0,1
Chasin' You,Morgan Wallen,2020-02-29,71,0,0,0,1
Slow Dance In A Parking Lot,Jordan Davis,2020-02-29,72,0,0,0,1
Thug Love,A Boogie Wit da Hoodie,2020-02-29,73,0,0,0,1
Homemade,Jake Owen,2020-02-29,74,0,0,0,1
TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,2020-02-29,75,0,0,0,1
Before You Go,Lewis Capaldi,2020-02-29,76,0,0,0,1
After Hours,The Weeknd,2020-02-29,77,0,0,0,1
Know Your Worth,Khalid x Disclosure,2020-02-29,78,0,0,0,1
Ignorantes,Bad Bunny & Sech,2020-02-29,79,0,0,0,1
Stain,A Boogie Wit da Hoodie Featuring DaBaby,2020-02-29,80,0,0,0,1
Yikes,Nicki Minaj,2020-02-29,81,0,0,0,1
Make No Sense,YoungBoy Never Broke Again,2020-02-29,82,0,0,0,1
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,2020-02-29,83,0,0,0,1
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-02-29,84,0,0,0,1
Ridin' Roads,Dustin Lynch,2020-02-29,85,0,0,0,1
Come Around Me,Justin Bieber,2020-02-29,86,0,0,0,1
Catch,Brett Young,2020-02-29,87,0,0,0,1
B.I.T.C.H.,Megan Thee Stallion,2020-02-29,88,0,0,0,1
homecoming queen?,Kelsea Ballerini,2020-02-29,89,0,0,0,1
Rare,Selena Gomez,2020-02-29,90,0,0,0,1
King Of My City,A Boogie Wit da Hoodie,2020-02-29,91,0,0,0,1
Dive Bar,Garth Brooks & Blake Shelton,2020-02-29,92,0,0,0,1
SUGAR,BrockHampton,2020-02-29,93,0,0,0,1
Come Thru,Summer Walker & Usher,2020-02-29,94,0,0,0,1
Cinderella Story,A Boogie Wit da Hoodie,2020-02-29,95,0,0,0,1
Vete,Bad Bunny,2020-02-29,96,0,0,0,1
Into The Unknown,Idina Menzel & AURORA,2020-02-29,97,0,0,0,1
Habitual,Justin Bieber,2020-02-29,98,0,0,0,1
P*$$y Fairy (OTW),Jhene Aiko,2020-02-29,99,0,0,0,1
All Around Me,Justin Bieber,2020-02-29,100,0,0,0,1
The Box,Roddy Ricch,2020-02-22,1,0,0,0,1
Life Is Good,Future Featuring Drake,2020-02-22,2,0,0,0,1
Circles,Post Malone,2020-02-22,3,0,0,0,1
Memories,Maroon 5,2020-02-22,4,0,0,0,1
Dance Monkey,Tones And I,2020-02-22,5,0,0,0,1
Don't Start Now,Dua Lipa,2020-02-22,6,0,0,0,1
Roxanne,Arizona Zervas,2020-02-22,7,0,0,0,1
Someone You Loved,Lewis Capaldi,2020-02-22,8,0,0,0,1
"10,000 Hours",Dan + Shay & Justin Bieber,2020-02-22,9,0,0,0,1
Everything I Wanted,Billie Eilish,2020-02-22,10,0,0,0,1
Intentions,Justin Bieber Featuring Quavo,2020-02-22,11,0,0,0,1
Blinding Lights,The Weeknd,2020-02-22,12,0,0,0,1
Lose You To Love Me,Selena Gomez,2020-02-22,13,0,0,0,1
Ballin',Mustard & Roddy Ricch,2020-02-22,14,0,0,0,1
BOP,DaBaby,2020-02-22,15,0,0,0,1
Hot Girl Bummer,blackbear,2020-02-22,16,0,0,0,1
Heartless,The Weeknd,2020-02-22,17,0,0,0,1
The Bones,Maren Morris,2020-02-22,18,0,0,0,1
Yummy,Justin Bieber,2020-02-22,19,0,0,0,1
Good As Hell,Lizzo,2020-02-22,20,0,0,0,1
High Fashion,Roddy Ricch Featuring Mustard,2020-02-22,21,0,0,0,1
Adore You,Harry Styles,2020-02-22,22,0,0,0,1
Yikes,Nicki Minaj,2020-02-22,23,0,0,0,1
Woah,Lil Baby,2020-02-22,24,0,0,0,1
Falling,Trevor Daniel,2020-02-22,25,0,0,0,1
My Oh My,Camila Cabello Featuring DaBaby,2020-02-22,26,0,0,0,1
No Guidance,Chris Brown Featuring Drake,2020-02-22,27,0,0,0,1
Godzilla,Eminem Featuring Juice WRLD,2020-02-22,28,0,0,0,1
Bad Guy,Billie Eilish,2020-02-22,29,0,0,0,1
HIGHEST IN THE ROOM,Travis Scott,2020-02-22,30,0,0,0,1
You Should Be Sad,Halsey,2020-02-22,31,0,0,0,1
What A Man Gotta Do,Jonas Brothers,2020-02-22,32,0,0,0,1
Senorita,Shawn Mendes & Camila Cabello,2020-02-22,33,0,0,0,1
Kinfolks,Sam Hunt,2020-02-22,34,0,0,0,1
Trampoline,SHAED,2020-02-22,35,0,0,0,1
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,2020-02-22,36,0,0,0,1
Sucker,Jonas Brothers,2020-02-22,37,0,0,0,1
One Man Band,Old Dominion,2020-02-22,38,0,0,0,1
Only Human,Jonas Brothers,2020-02-22,39,0,0,0,1
I Don't Care,Ed Sheeran & Justin Bieber,2020-02-22,40,0,0,0,1
Truth Hurts,Lizzo,2020-02-22,41,0,0,0,1
Tusa,Karol G & Nicki Minaj,2020-02-22,42,0,0,0,1
Juicy,Doja Cat & Tyga,2020-02-22,43,0,0,0,1
Suicidal,YNW Melly & Juice WRLD,2020-02-22,44,0,0,0,1
Homesick,Kane Brown,2020-02-22,45,0,0,0,1
Hot,Young Thug Featuring Gunna,2020-02-22,46,0,0,0,1
Even Though I'm Leaving,Luke Combs,2020-02-22,47,0,0,0,1
I Hope,Gabby Barrett Featuring Charlie Puth,2020-02-22,48,0,0,0,1
Sum 2 Prove,Lil Baby,2020-02-22,49,0,0,0,1
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,2020-02-22,50,0,0,0,1
Bandit,Juice WRLD & YoungBoy Never Broke Again,2020-02-22,51,0,0,0,1
Heartache Medication,Jon Pardi,2020-02-22,52,0,0,0,1
Make Me Want To,Jimmie Allen,2020-02-22,53,0,0,0,1
BEST ON EARTH,Russ & BIA,2020-02-22,54,0,0,0,1
Heart On Ice,Rod Wave,2020-02-22,55,0,0,0,1
Slide,H.E.R. Featuring YG,2020-02-22,56,0,0,0,1
Know Your Worth,Khalid x Disclosure,2020-02-22,57,0,0,0,1
Say So,Doja Cat Featuring Nicki Minaj,2020-02-22,58,0,0,0,1
Out West,JACKBOYS Featuring Young Thug,2020-02-22,59,0,0,0,1
Nobody But You,Blake Shelton Duet With Gwen Stefani,2020-02-22,60,0,0,0,1
I Do It,Lil Wayne Featuring Big Sean & Lil Baby,2020-02-22,61,0,0,0,1
Blueberry Faygo,Lil Mosey,2020-02-22,62,0,0,0,1
TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,2020-02-22,63,0,0,0,1
What She Wants Tonight,Luke Bryan,2020-02-22,64,0,0,0,1
VIBEZ,DaBaby,2020-02-22,65,0,0,0,1
I Wish Grandpas Never Died,Riley Green,2020-02-22,66,0,0,0,1
More Hearts Than Mine,Ingrid Andress,2020-02-22,67,0,0,0,1
Run,Joji,2020-02-22,68,0,0,0,1
We Back,Jason Aldean,2020-02-22,69,0,0,0,1
P*$$y Fairy (OTW),Jhene Aiko,2020-02-22,70,0,0,0,1
Before You Go,Lewis Capaldi,2020-02-22,71,0,0,0,1
B.I.T.C.H.,Megan Thee Stallion,2020-02-22,72,0,0,0,1
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,2020-02-22,73,0,0,0,1
Rodeo,Lil Nas X & Cardi B Or Nas,2020-02-22,74,0,0,0,1
Homemade,Jake Owen,2020-02-22,75,0,0,0,1
Slow Dance In A Parking Lot,Jordan Davis,2020-02-22,76,0,0,0,1
I Hope You're Happy Now,Carly Pearce & Lee Brice,2020-02-22,77,0,0,0,1
Ridin' Roads,Dustin Lynch,2020-02-22,78,0,0,0,1
Make No Sense,YoungBoy Never Broke Again,2020-02-22,79,0,0,0,1
Loyal,PARTYNEXTDOOR Featuring Drake,2020-02-22,80,0,0,0,1
Chasin' You,Morgan Wallen,2020-02-22,81,0,0,0,1
SUGAR,BrockHampton,2020-02-22,82,0,0,0,1
KEII,Anuel AA,2020-02-22,83,0,0,0,1
Futsal Shuffle 2020,Lil Uzi Vert,2020-02-22,84,0,0,0,1
Dive Bar,Garth Brooks & Blake Shelton,2020-02-22,85,0,0,0,1
homecoming queen?,Kelsea Ballerini,2020-02-22,86,0,0,0,1
Rare,Selena Gomez,2020-02-22,87,0,0,0,1
No Idea,Don Toliver,2020-02-22,88,0,0,0,1
Come Thru,Summer Walker & Usher,2020-02-22,89,0,0,0,1
Believe,Meek Mill Featuring Justin Timberlake,2020-02-22,90,0,0,0,1
Vete,Bad Bunny,2020-02-22,91,0,0,0,1
Catch,Brett Young,2020-02-22,92,0,0,0,1
Into The Unknown,Idina Menzel & AURORA,2020-02-22,93,0,0,0,1
Start Wit Me,Roddy Ricch & Gunna,2020-02-22,94,0,0,0,1
Easy,DaniLeigh Featuring Chris Brown,2020-02-22,95,0,0,0,1
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-02-22,96,0,0,0,1
No Judgement,Niall Horan,2020-02-22,97,0,0,0,1
Jerry Sprunger,Tory Lanez & T-Pain,2020-02-22,98,0,0,0,1
King Of My City,A Boogie Wit da Hoodie,2020-02-22,99,0,0,0,1
ORANGE SODA,Baby Keem,2020-02-22,100,0,0,0,1
The Box,Roddy Ricch,2020-02-15,1,0,0,0,1
Life Is Good,Future Featuring Drake,2020-02-15,2,0,0,0,1
Circles,Post Malone,2020-02-15,3,0,0,0,1
Memories,Maroon 5,2020-02-15,4,0,0,0,1
Dance Monkey,Tones And I,2020-02-15,5,0,0,0,1
Someone You Loved,Lewis Capaldi,2020-02-15,6,0,0,0,1
Roxanne,Arizona Zervas,2020-02-15,7,0,0,0,1
"10,000 Hours",Dan + Shay & Justin Bieber,2020-02-15,8,0,0,0,1
Don't Start Now,Dua Lipa,2020-02-15,9,0,0,0,1
Everything I Wanted,Billie Eilish,2020-02-15,10,0,0,0,1
Lose You To Love Me,Selena Gomez,2020-02-15,11,0,0,0,1
Ballin',Mustard & Roddy Ricch,2020-02-15,12,0,0,0,1
BOP,DaBaby,2020-02-15,13,0,0,0,1
Yummy,Justin Bieber,2020-02-15,14,0,0,0,1
Blinding Lights,The Weeknd,2020-02-15,15,0,0,0,1
Good As Hell,Lizzo,2020-02-15,16,0,0,0,1
Heartless,The Weeknd,2020-02-15,17,0,0,0,1
The Bones,Maren Morris,2020-02-15,18,0,0,0,1
Hot Girl Bummer,blackbear,2020-02-15,19,0,0,0,1
Godzilla,Eminem Featuring Juice WRLD,2020-02-15,20,0,0,0,1
High Fashion,Roddy Ricch Featuring Mustard,2020-02-15,21,0,0,0,1
No Guidance,Chris Brown Featuring Drake,2020-02-15,22,0,0,0,1
Adore You,Harry Styles,2020-02-15,23,0,0,0,1
Woah,Lil Baby,2020-02-15,24,0,0,0,1
Bad Guy,Billie Eilish,2020-02-15,25,0,0,0,1
HIGHEST IN THE ROOM,Travis Scott,2020-02-15,26,0,0,0,1
Falling,Trevor Daniel,2020-02-15,27,0,0,0,1
Senorita,Shawn Mendes & Camila Cabello,2020-02-15,28,0,0,0,1
What A Man Gotta Do,Jonas Brothers,2020-02-15,29,0,0,0,1
You Should Be Sad,Halsey,2020-02-15,30,0,0,0,1
My Oh My,Camila Cabello Featuring DaBaby,2020-02-15,31,0,0,0,1
Trampoline,SHAED,2020-02-15,32,0,0,0,1
I Do It,Lil Wayne Featuring Big Sean & Lil Baby,2020-02-15,33,0,0,0,1
Kinfolks,Sam Hunt,2020-02-15,34,0,0,0,1
Truth Hurts,Lizzo,2020-02-15,35,0,0,0,1
One Man Band,Old Dominion,2020-02-15,36,0,0,0,1
Only Human,Jonas Brothers,2020-02-15,37,0,0,0,1
Sucker,Jonas Brothers,2020-02-15,38,0,0,0,1
Suicidal,YNW Melly & Juice WRLD,2020-02-15,39,0,0,0,1
I Don't Care,Ed Sheeran & Justin Bieber,2020-02-15,40,0,0,0,1
Juicy,Doja Cat & Tyga,2020-02-15,41,0,0,0,1
Tusa,Karol G & Nicki Minaj,2020-02-15,42,0,0,0,1
Even Though I'm Leaving,Luke Combs,2020-02-15,43,0,0,0,1
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,2020-02-15,44,0,0,0,1
Bandit,Juice WRLD & YoungBoy Never Broke Again,2020-02-15,45,0,0,0,1
Sum 2 Prove,Lil Baby,2020-02-15,46,0,0,0,1
Hot,Young Thug Featuring Gunna,2020-02-15,47,0,0,0,1
Heartache Medication,Jon Pardi,2020-02-15,48,0,0,0,1
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,2020-02-15,49,0,0,0,1
Only The Young,Taylor Swift,2020-02-15,50,0,0,0,1
Homesick,Kane Brown,2020-02-15,51,0,0,0,1
BEST ON EARTH,Russ & BIA,2020-02-15,52,0,0,0,1
I Hope,Gabby Barrett Featuring Charlie Puth,2020-02-15,53,0,0,0,1
Slide,H.E.R. Featuring YG,2020-02-15,54,0,0,0,1
Heart On Ice,Rod Wave,2020-02-15,55,0,0,0,1
Anyone,Demi Lovato,2020-02-15,56,0,0,0,1
Out West,JACKBOYS Featuring Young Thug,2020-02-15,57,0,0,0,1
TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,2020-02-15,58,0,0,0,1
B.I.T.C.H.,Megan Thee Stallion,2020-02-15,59,0,0,0,1
Physical,Dua Lipa,2020-02-15,60,0,0,0,1
Mahogany,Lil Wayne,2020-02-15,61,0,0,0,1
Nobody But You,Blake Shelton Duet With Gwen Stefani,2020-02-15,62,0,0,0,1
VIBEZ,DaBaby,2020-02-15,63,0,0,0,1
What She Wants Tonight,Luke Bryan,2020-02-15,64,0,0,0,1
Make Me Want To,Jimmie Allen,2020-02-15,65,0,0,0,1
P*$$y Fairy (OTW),Jhene Aiko,2020-02-15,66,0,0,0,1
Say So,Doja Cat Featuring Nicki Minaj,2020-02-15,67,0,0,0,1
I Wish Grandpas Never Died,Riley Green,2020-02-15,68,0,0,0,1
King Of My City,A Boogie Wit da Hoodie,2020-02-15,69,0,0,0,1
Futsal Shuffle 2020,Lil Uzi Vert,2020-02-15,70,0,0,0,1
More Hearts Than Mine,Ingrid Andress,2020-02-15,71,0,0,0,1
We Back,Jason Aldean,2020-02-15,72,0,0,0,1
Letter To Nipsey,Meek Mill Featuring Roddy Ricch,2020-02-15,73,0,0,0,1
SUGAR,BrockHampton,2020-02-15,74,0,0,0,1
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,2020-02-15,75,0,0,0,1
I Hope You're Happy Now,Carly Pearce & Lee Brice,2020-02-15,76,0,0,0,1
Ridin' Roads,Dustin Lynch,2020-02-15,77,0,0,0,1
No Idea,Don Toliver,2020-02-15,78,0,0,0,1
Before You Go,Lewis Capaldi,2020-02-15,79,0,0,0,1
Make No Sense,YoungBoy Never Broke Again,2020-02-15,80,0,0,0,1
Homemade,Jake Owen,2020-02-15,81,0,0,0,1
Good News,Mac Miller,2020-02-15,82,0,0,0,1
Start Wit Me,Roddy Ricch & Gunna,2020-02-15,83,0,0,0,1
Vete,Bad Bunny,2020-02-15,84,0,0,0,1
Chasin' You,Morgan Wallen,2020-02-15,85,0,0,0,1
homecoming queen?,Kelsea Ballerini,2020-02-15,86,0,0,0,1
Mama Mia,Lil Wayne,2020-02-15,87,0,0,0,1
Funeral,Lil Wayne,2020-02-15,88,0,0,0,1
Nice To Meet Ya,Meghan Trainor Featuring Nicki Minaj,2020-02-15,89,0,0,0,1
Slow Dance In A Parking Lot,Jordan Davis,2020-02-15,90,0,0,0,1
Come Thru,Summer Walker & Usher,2020-02-15,91,0,0,0,1
Jerry Sprunger,Tory Lanez & T-Pain,2020-02-15,92,0,0,0,1
Get Me,Justin Bieber Featuring Kehlani,2020-02-15,93,0,0,0,1
Catch,Brett Young,2020-02-15,94,0,0,0,1
Dive Bar,Garth Brooks & Blake Shelton,2020-02-15,95,0,0,0,1
Easy,DaniLeigh Featuring Chris Brown,2020-02-15,96,0,0,0,1
Rare,Selena Gomez,2020-02-15,97,0,0,0,1
U Played,MoneyBagg Yo Featuring Lil Baby,2020-02-15,98,0,0,0,1
