song,performer,date,chart_position,hitTF
Better Now,Post Malone,2019-04-13,34,1
Sicko Mode,Travis Scott,2019-07-20,50,1
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2019-10-12,15,1
Shape Of You,Ed Sheeran,2018-01-06,19,1
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2018-01-13,25,1
Believer,Imagine Dragons,2018-02-03,28,1
Better Now,Post Malone,2019-04-20,37,1
Sicko Mode,Travis Scott,2019-07-27,49,1
Shape Of You,Ed Sheeran,2018-01-13,13,1
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2019-10-19,18,1
Believer,Imagine Dragons,2018-02-10,29,1
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2018-01-20,34,1
Better Now,Post Malone,2019-04-27,39,1
Sicko Mode,Travis Scott,2019-08-03,46,1
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2019-10-26,19,1
Shape Of You,Ed Sheeran,2018-01-20,22,1
Better Now,Post Malone,2019-05-04,42,1
Sicko Mode,Travis Scott,2019-08-10,50,1
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2019-11-02,21,1
Shape Of You,Ed Sheeran,2018-01-27,21,1
Shape Of You,Ed Sheeran,2018-02-03,22,1
Shape Of You,Ed Sheeran,2018-02-10,22,1
Shape Of You,Ed Sheeran,2018-02-17,23,1
Shape Of You,Ed Sheeran,2018-02-24,24,1
Shape Of You,Ed Sheeran,2018-03-03,24,1
Sober,Demi Lovato,2018-08-04,56,1
Rich Sex,Nicki Minaj Featuring Lil Wayne,2018-08-25,56,1
A$AP Forever,A$AP Rocky Featuring Moby,2018-06-09,63,1
Pure Water,Mustard & Migos,2019-02-16,64,1
Bad Liar,Imagine Dragons,2019-03-16,72,1
Clout,Offset Featuring Cardi B,2019-04-27,72,1
One Call,Gunna,2019-03-09,78,1
Side Effects,The Chainsmokers Featuring Emily Warren,2018-09-01,81,1
Dark Knight Dummo,Trippie Redd Featuring Travis Scott,2018-03-10,82,1
Broken Clocks,SZA,2018-04-14,82,1
Don't Go Breaking My Heart,Backstreet Boys,2018-07-14,84,1
Rich,Maren Morris,2018-10-27,85,1
Africa,Weezer,2018-08-04,86,1
Tequila,Dan + Shay,2018-03-31,87,1
Stuck In A Dream,Lil Mosey x Gunna,2019-11-16,87,1
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018-09-08,88,1
One That Got Away,Michael Ray,2019-03-16,89,1
Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-03-31,91,1
Break Up In The End,Cole Swindell,2018-07-28,91,1
Alone,Halsey Featuring Big Sean & Stefflon Don,2018-05-05,92,1
Splashin,Rich The Kid,2019-02-09,92,1
Tempo,Chris Brown,2018-03-31,94,1
Criminal,Natti Natasha x Ozuna,2018-02-17,95,1
Babe,Sugarland Featuring Taylor Swift,2018-06-23,95,1
Backin' It Up,Pardison Fontaine Featuring Cardi B,2018-11-03,95,1
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,2019-02-23,95,1
Tap,NAV Featuring Meek Mill,2019-06-29,95,1
Solo,Clean Bandit Featuring Demi Lovato,2018-07-21,98,1
Rule The World,2 Chainz Featuring Ariana Grande,2019-05-25,98,1
Takeaway,The Chainsmokers & Illenium Featuring Lennon Stella,2019-08-31,98,1
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,2019-12-14,98,1
Rock,Plies,2018-02-17,99,1
Playing Games,Summer Walker,2019-09-21,99,1
Supplies,Justin Timberlake,2018-02-17,100,1
Take Back Home Girl,Chris Lane Featuring Tori Kelly,2018-06-16,100,1
Slow Dancing In The Dark,Joji,2019-10-19,100,1
The Archer,Taylor Swift,2019-09-07,38,1
Clout,Offset Featuring Cardi B,2019-05-04,39,1
Sober,Demi Lovato,2018-08-11,47,1
Say Amen (Saturday Night),Panic! At The Disco,2018-07-07,61,1
Pure Water,Mustard & Migos,2019-02-23,61,1
Stuck In A Dream,Lil Mosey x Gunna,2019-11-23,62,1
Side Effects,The Chainsmokers Featuring Emily Warren,2018-09-08,66,1
Solo,Clean Bandit Featuring Demi Lovato,2018-07-28,66,1
Africa,Weezer,2018-08-11,68,1
Bad Liar,Imagine Dragons,2019-03-23,70,1
Tequila,Dan + Shay,2018-04-07,74,1
Beautiful Crazy,Luke Combs,2018-06-16,77,1
Secreto,Anuel AA & Karol G,2019-02-23,80,1
Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-04-07,80,1
Rich,Maren Morris,2018-11-03,81,1
Backin' It Up,Pardison Fontaine Featuring Cardi B,2018-11-10,81,1
Don't Go Breaking My Heart,Backstreet Boys,2018-07-21,82,1
Sin Pijama,Becky G + Natti Natasha,2018-07-07,83,1
One That Got Away,Michael Ray,2019-03-23,84,1
Dark Knight Dummo,Trippie Redd Featuring Travis Scott,2018-03-17,85,1
Break Up In The End,Cole Swindell,2018-08-04,87,1
All The Good Girls Go To Hell,Billie Eilish,2019-11-16,89,1
Splashin,Rich The Kid,2019-02-16,90,1
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018-09-15,91,1
Tempo,Chris Brown,2018-04-07,92,1
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,2019-03-02,92,1
Playing Games,Summer Walker,2019-09-28,94,1
Beautiful Trauma,P!nk,2018-01-20,95,1
Cry Pretty,Carrie Underwood,2018-05-26,95,1
Tap,NAV Featuring Meek Mill,2019-07-06,95,1
Rock,Plies,2018-02-24,95,1
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,2019-12-21,96,1
Broken Clocks,SZA,2018-04-21,97,1
Criminal,Natti Natasha x Ozuna,2018-02-24,98,1
Slow Dancing In The Dark,Joji,2019-10-26,98,1
Alone,Halsey Featuring Big Sean & Stefflon Don,2018-05-12,99,1
Paradise,Bazzi,2019-06-08,99,1
Take Back Home Girl,Chris Lane Featuring Tori Kelly,2018-06-23,99,1
Sleigh Ride,The Ronettes,2019-12-14,43,1
Run Rudolph Run,Chuck Berry,2019-01-05,45,1
A Holly Jolly Christmas,Burl Ives,2018-01-06,46,1
Clout,Offset Featuring Cardi B,2019-05-11,47,1
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-07-07,56,1
Pure Water,Mustard & Migos,2019-03-02,56,1
Start Wit Me,Roddy Ricch & Gunna,2019-12-21,58,1
Bad Liar,Imagine Dragons,2019-03-30,59,1
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,2019-03-09,59,1
Solo,Clean Bandit Featuring Demi Lovato,2018-08-04,61,1
Don't Go Breaking My Heart,Backstreet Boys,2018-07-28,63,1
Tequila,Dan + Shay,2018-04-14,66,1
Pure Cocaine,Lil Baby,2019-01-12,72,1
Africa,Weezer,2018-08-18,73,1
Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-04-14,74,1
Playing Games,Summer Walker,2019-10-05,74,1
Side Effects,The Chainsmokers Featuring Emily Warren,2018-09-15,77,1
Rich,Maren Morris,2018-11-10,77,1
Backin' It Up,Pardison Fontaine Featuring Cardi B,2018-11-17,77,1
Tell Me You Love Me,Demi Lovato,2018-01-06,78,1
One That Got Away,Michael Ray,2019-03-30,78,1
All The Good Girls Go To Hell,Billie Eilish,2019-11-23,80,1
Stuck In A Dream,Lil Mosey x Gunna,2019-11-30,82,1
Barbie Tingz,Nicki Minaj,2018-05-19,84,1
Break Up In The End,Cole Swindell,2018-08-11,85,1
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018-09-22,88,1
Tempo,Chris Brown,2018-04-14,88,1
Sin Pijama,Becky G + Natti Natasha,2018-07-14,89,1
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,2019-12-28,89,1
Alone,Halsey Featuring Big Sean & Stefflon Don,2018-05-19,90,1
Beautiful Crazy,Luke Combs,2018-06-23,93,1
Desperate Man,Eric Church,2018-09-01,94,1
Chanel (Go Get It),Young Thug Featuring Gunna & Lil Baby,2018-10-27,94,1
SOS,Avicii Featuring Aloe Blacc,2019-05-25,94,1
Burn Out,Midland,2019-02-09,95,1
Baguettes In The Face,"Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",2019-09-07,95,1
Rock,Plies,2018-03-03,95,1
Broken Clocks,SZA,2018-04-28,97,1
Splashin,Rich The Kid,2019-02-23,97,1
24/7,Meek Mill Featuring Ella Mai,2019-05-11,97,1
Beautiful Trauma,P!nk,2018-01-27,99,1
Tap,NAV Featuring Meek Mill,2019-07-13,99,1
Dark Knight Dummo,Trippie Redd Featuring Travis Scott,2018-03-24,100,1
Only Human,Jonas Brothers,2019-07-20,100,1
Sleigh Ride,The Ronettes,2019-12-21,37,1
Clout,Offset Featuring Cardi B,2019-05-18,44,1
Rudolph The Red-Nosed Reindeer,Gene Autry,2019-12-14,44,1
Pure Water,Mustard & Migos,2019-03-09,52,1
Bad Liar,Imagine Dragons,2019-04-06,56,1
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,2019-03-16,57,1
Africa,Weezer,2018-08-25,57,1
Solo,Clean Bandit Featuring Demi Lovato,2018-08-11,58,1
Pure Cocaine,Lil Baby,2019-01-19,66,1
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-07-14,67,1
One That Got Away,Michael Ray,2019-04-06,67,1
Don't Go Breaking My Heart,Backstreet Boys,2018-08-04,68,1
Start Wit Me,Roddy Ricch & Gunna,2019-12-28,69,1
Rich,Maren Morris,2018-11-17,71,1
Tell Me You Love Me,Demi Lovato,2018-01-13,72,1
Backin' It Up,Pardison Fontaine Featuring Cardi B,2018-11-24,74,1
Playing Games,Summer Walker,2019-10-12,75,1
Side Effects,The Chainsmokers Featuring Emily Warren,2018-09-22,76,1
All The Good Girls Go To Hell,Billie Eilish,2019-11-30,76,1
Tequila,Dan + Shay,2018-04-21,77,1
Saturday Nights,Khalid & Kane Brown,2019-03-23,78,1
Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-04-21,81,1
Baguettes In The Face,"Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",2019-09-14,81,1
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018-09-29,82,1
Space Cadet,Metro Boomin Featuring Gunna,2019-01-19,83,1
Alone,Halsey Featuring Big Sean & Stefflon Don,2018-05-26,84,1
Ring,Cardi B Featuring Kehlani,2018-09-01,85,1
Desperate Man,Eric Church,2018-09-08,85,1
24/7,Meek Mill Featuring Ella Mai,2019-05-18,85,1
BEBE,6ix9ine Featuring Anuel AA,2018-12-08,86,1
Only Human,Jonas Brothers,2019-07-27,87,1
Break Up In The End,Cole Swindell,2018-08-18,90,1
Beautiful Trauma,P!nk,2018-02-03,91,1
Burn Out,Midland,2019-02-16,93,1
Tap,NAV Featuring Meek Mill,2019-07-20,96,1
Dark Knight Dummo,Trippie Redd Featuring Travis Scott,2018-03-31,99,1
Sin Pijama,Becky G + Natti Natasha,2018-07-21,99,1
Que Pretendes,J Balvin & Bad Bunny,2019-08-24,99,1
Rock,Plies,2018-03-10,100,1
Summertime Magic,Childish Gambino,2018-09-15,100,1
Playing Games,Summer Walker,2019-10-19,16,1
Sleigh Ride,The Ronettes,2019-12-28,37,1
Rudolph The Red-Nosed Reindeer,Gene Autry,2019-12-21,38,1
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-07-21,46,1
Pure Water,Mustard & Migos,2019-03-16,51,1
Africa,Weezer,2018-09-01,54,1
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,2019-03-23,54,1
Clout,Offset Featuring Cardi B,2019-05-25,55,1
Tell Me You Love Me,Demi Lovato,2018-01-20,55,1
Tequila,Dan + Shay,2018-04-28,57,1
Don't Go Breaking My Heart,Backstreet Boys,2018-08-11,65,1
Backin' It Up,Pardison Fontaine Featuring Cardi B,2018-12-01,65,1
Bad Liar,Imagine Dragons,2019-04-13,66,1
Solo,Clean Bandit Featuring Demi Lovato,2018-08-18,66,1
Pure Cocaine,Lil Baby,2019-01-26,67,1
Ring,Cardi B Featuring Kehlani,2018-09-08,67,1
Rich,Maren Morris,2018-11-24,68,1
One That Got Away,Michael Ray,2019-04-13,69,1
Saturday Nights,Khalid & Kane Brown,2019-03-30,70,1
Alone,Halsey Featuring Big Sean & Stefflon Don,2018-06-02,70,1
Calma,Pedro Capo X Farruko,2019-05-04,71,1
All The Good Girls Go To Hell,Billie Eilish,2019-12-07,76,1
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018-10-06,76,1
Only Human,Jonas Brothers,2019-08-03,78,1
Break Up In The End,Cole Swindell,2018-08-25,78,1
Sin Pijama,Becky G + Natti Natasha,2018-07-28,83,1
24/7,Meek Mill Featuring Ella Mai,2019-05-25,84,1
Burn Out,Midland,2019-02-23,85,1
Side Effects,The Chainsmokers Featuring Emily Warren,2018-09-29,88,1
Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-04-28,88,1
Space Cadet,Metro Boomin Featuring Gunna,2019-01-26,88,1
Beautiful Trauma,P!nk,2018-02-10,88,1
Desperate Man,Eric Church,2018-09-15,93,1
Tap,NAV Featuring Meek Mill,2019-07-27,93,1
Baguettes In The Face,"Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",2019-09-21,95,1
Praise The Lord (Da Shine),A$AP Rocky Featuring Skepta,2018-07-28,96,1
Dark Knight Dummo,Trippie Redd Featuring Travis Scott,2018-04-07,98,1
Dip,Tyga & Nicki Minaj,2018-12-22,99,1
Playing Games,Summer Walker,2019-10-26,26,1
Rudolph The Red-Nosed Reindeer,Gene Autry,2019-12-28,36,1
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-07-28,39,1
Pure Water,Mustard & Migos,2019-03-23,40,1
Always Remember Us This Way,Lady Gaga,2019-03-09,47,1
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,2019-03-30,48,1
Break Up In The End,Cole Swindell,2018-09-01,49,1
Clout,Offset Featuring Cardi B,2019-06-01,56,1
Africa,Weezer,2018-09-08,56,1
Solo,Clean Bandit Featuring Demi Lovato,2018-08-25,62,1
Ring,Cardi B Featuring Kehlani,2018-09-15,62,1
Rich,Maren Morris,2018-12-01,62,1
Tequila,Dan + Shay,2018-05-05,63,1
Alone,Halsey Featuring Big Sean & Stefflon Don,2018-06-09,70,1
Only Human,Jonas Brothers,2019-08-10,70,1
Tell Me You Love Me,Demi Lovato,2018-01-27,72,1
Sin Pijama,Becky G + Natti Natasha,2018-08-04,72,1
Saturday Nights,Khalid & Kane Brown,2019-04-06,73,1
Calma,Pedro Capo X Farruko,2019-05-11,73,1
Bad Liar,Imagine Dragons,2019-04-20,74,1
Don't Go Breaking My Heart,Backstreet Boys,2018-08-18,75,1
Backin' It Up,Pardison Fontaine Featuring Cardi B,2018-12-08,76,1
Beautiful Trauma,P!nk,2018-02-17,78,1
All The Good Girls Go To Hell,Billie Eilish,2019-12-14,79,1
Burn Out,Midland,2019-03-02,83,1
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018-10-13,84,1
Tap,NAV Featuring Meek Mill,2019-08-03,87,1
One That Got Away,Michael Ray,2019-04-20,88,1
Pure Cocaine,Lil Baby,2019-02-02,89,1
Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-05-05,90,1
Desperate Man,Eric Church,2018-09-22,90,1
Corazon,Maluma X Nego do Borel,2018-03-03,94,1
Praise The Lord (Da Shine),A$AP Rocky Featuring Skepta,2018-08-04,96,1
24/7,Meek Mill Featuring Ella Mai,2019-06-01,97,1
Playing Games,Summer Walker,2019-11-02,26,1
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-08-04,28,1
Pure Water,Mustard & Migos,2019-03-30,34,1
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,2019-04-06,49,1
Ring,Cardi B Featuring Kehlani,2018-09-22,56,1
Pure Cocaine,Lil Baby,2019-02-09,56,1
Clout,Offset Featuring Cardi B,2019-06-08,57,1
Africa,Weezer,2018-09-15,58,1
Solo,Clean Bandit Featuring Demi Lovato,2018-09-01,59,1
Break Up In The End,Cole Swindell,2018-09-08,62,1
Only Human,Jonas Brothers,2019-08-17,63,1
Always Remember Us This Way,Lady Gaga,2019-03-16,64,1
Tequila,Dan + Shay,2018-05-12,67,1
Burn Out,Midland,2019-03-09,69,1
Sin Pijama,Becky G + Natti Natasha,2018-08-11,70,1
Don't Go Breaking My Heart,Backstreet Boys,2018-08-25,73,1
Alone,Halsey Featuring Big Sean & Stefflon Don,2018-06-16,73,1
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018-10-20,75,1
24/7,Meek Mill Featuring Ella Mai,2019-06-08,75,1
Calma,Pedro Capo X Farruko,2019-05-18,77,1
Tell Me You Love Me,Demi Lovato,2018-02-03,79,1
Bad Liar,Imagine Dragons,2019-04-27,80,1
Saturday Nights,Khalid & Kane Brown,2019-04-13,81,1
Praise The Lord (Da Shine),A$AP Rocky Featuring Skepta,2018-08-11,84,1
Backin' It Up,Pardison Fontaine Featuring Cardi B,2018-12-15,86,1
Rich,Maren Morris,2018-12-08,87,1
One That Got Away,Michael Ray,2019-04-27,87,1
Beautiful Trauma,P!nk,2018-02-24,88,1
Desperate Man,Eric Church,2018-09-29,89,1
Tap,NAV Featuring Meek Mill,2019-08-10,90,1
Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-05-12,93,1
Corazon,Maluma X Nego do Borel,2018-03-10,93,1
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-08-11,25,1
Pure Water,Mustard & Migos,2019-04-06,31,1
Playing Games,Summer Walker,2019-11-09,34,1
Africa,Weezer,2018-09-22,51,1
Ring,Cardi B Featuring Kehlani,2018-09-29,53,1
Only Human,Jonas Brothers,2019-08-24,53,1
Clout,Offset Featuring Cardi B,2019-06-15,55,1
Tequila,Dan + Shay,2018-05-19,55,1
Pure Cocaine,Lil Baby,2019-02-16,57,1
Saturday Nights,Khalid & Kane Brown,2019-04-20,57,1
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,2019-04-13,58,1
Solo,Clean Bandit Featuring Demi Lovato,2018-09-08,61,1
Burn Out,Midland,2019-03-16,63,1
Backin' It Up,Pardison Fontaine Featuring Cardi B,2018-12-22,66,1
Break Up In The End,Cole Swindell,2018-09-15,70,1
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018-10-27,73,1
Alone,Halsey Featuring Big Sean & Stefflon Don,2018-06-23,74,1
Don't Go Breaking My Heart,Backstreet Boys,2018-09-01,76,1
Calma,Pedro Capo X Farruko,2019-05-25,76,1
24/7,Meek Mill Featuring Ella Mai,2019-06-15,76,1
Tell Me You Love Me,Demi Lovato,2018-02-10,78,1
Beautiful Trauma,P!nk,2018-03-03,81,1
Bad Liar,Imagine Dragons,2019-05-04,85,1
Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-05-19,91,1
Tap,NAV Featuring Meek Mill,2019-08-17,92,1
Sin Pijama,Becky G + Natti Natasha,2018-08-18,93,1
Desperate Man,Eric Church,2018-10-06,94,1
Corazon,Maluma X Nego do Borel,2018-03-17,97,1
One That Got Away,Michael Ray,2019-05-04,99,1
Always Remember Us This Way,Lady Gaga,2019-03-23,100,1
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-08-18,16,1
Changes,XXXTENTACION,2018-06-30,18,1
Playing Games,Summer Walker,2019-11-16,29,1
Pure Water,Mustard & Migos,2019-04-13,33,1
Only Human,Jonas Brothers,2019-08-31,46,1
Tequila,Dan + Shay,2018-05-26,48,1
Ring,Cardi B Featuring Kehlani,2018-10-06,49,1
Clout,Offset Featuring Cardi B,2019-06-22,53,1
Africa,Weezer,2018-09-29,55,1
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,2019-04-20,64,1
Backin' It Up,Pardison Fontaine Featuring Cardi B,2018-12-29,64,1
Pure Cocaine,Lil Baby,2019-02-23,67,1
24/7,Meek Mill Featuring Ella Mai,2019-06-22,67,1
Break Up In The End,Cole Swindell,2018-09-22,68,1
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018-11-03,69,1
Alone,Halsey Featuring Big Sean & Stefflon Don,2018-06-30,75,1
Solo,Clean Bandit Featuring Demi Lovato,2018-09-15,76,1
Tell Me You Love Me,Demi Lovato,2018-02-17,79,1
Beautiful Trauma,P!nk,2018-03-10,83,1
Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-05-26,85,1
Saturday Nights,Khalid & Kane Brown,2019-04-27,86,1
Sin Pijama,Becky G + Natti Natasha,2018-08-25,93,1
Don't Go Breaking My Heart,Backstreet Boys,2018-09-08,94,1
Calma,Pedro Capo X Farruko,2019-06-01,96,1
Tap,NAV Featuring Meek Mill,2019-08-24,97,1
Changes,XXXTENTACION,2018-07-07,18,1
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-08-25,23,1
Playing Games,Summer Walker,2019-11-23,33,1
Pure Water,Mustard & Migos,2019-04-20,33,1
Only Human,Jonas Brothers,2019-09-07,44,1
Tequila,Dan + Shay,2018-06-02,44,1
Africa,Weezer,2018-10-06,55,1
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,2019-04-27,56,1
Clout,Offset Featuring Cardi B,2019-06-29,58,1
Ring,Cardi B Featuring Kehlani,2018-10-13,61,1
24/7,Meek Mill Featuring Ella Mai,2019-06-29,63,1
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018-11-10,64,1
Break Up In The End,Cole Swindell,2018-09-29,65,1
Backin' It Up,Pardison Fontaine Featuring Cardi B,2019-01-05,69,1
Alone,Halsey Featuring Big Sean & Stefflon Don,2018-07-07,69,1
Pure Cocaine,Lil Baby,2019-03-02,76,1
Tell Me You Love Me,Demi Lovato,2018-02-24,80,1
Solo,Clean Bandit Featuring Demi Lovato,2018-09-22,80,1
Calma,Pedro Capo X Farruko,2019-06-08,80,1
Beautiful Trauma,P!nk,2018-03-17,81,1
Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-06-02,90,1
Saturday Nights,Khalid & Kane Brown,2019-05-04,91,1
OTW,"Khalid, Ty Dolla $ign & 6LACK",2018-07-21,97,1
BAD!,XXXTENTACION,2019-02-09,97,1
Sin Pijama,Becky G + Natti Natasha,2018-09-01,98,1
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,2019-06-29,99,1
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-09-01,24,1
Pure Water,Mustard & Migos,2019-04-27,33,1
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,2019-05-04,34,1
Only Human,Jonas Brothers,2019-09-14,35,1
Playing Games,Summer Walker,2019-11-30,36,1
Tequila,Dan + Shay,2018-06-09,37,1
Backin' It Up,Pardison Fontaine Featuring Cardi B,2019-01-12,44,1
Ring,Cardi B Featuring Kehlani,2018-10-20,52,1
Changes,XXXTENTACION,2018-07-14,55,1
Clout,Offset Featuring Cardi B,2019-07-06,56,1
Break Up In The End,Cole Swindell,2018-10-06,60,1
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018-11-17,66,1
Africa,Weezer,2018-10-13,67,1
24/7,Meek Mill Featuring Ella Mai,2019-07-06,69,1
Tell Me You Love Me,Demi Lovato,2018-03-03,71,1
Alone,Halsey Featuring Big Sean & Stefflon Don,2018-07-14,71,1
OTW,"Khalid, Ty Dolla $ign & 6LACK",2018-07-28,75,1
Close Friends,Lil Baby,2019-01-12,81,1
Calma,Pedro Capo X Farruko,2019-06-15,83,1
Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-06-09,85,1
The Light Is Coming,Ariana Grande Featuring Nicki Minaj,2018-07-07,95,1
The Light Is Coming,Ariana Grande Featuring Nicki Minaj,2018-09-01,89,1
The London,"Young Thug, J. Cole & Travis Scott",2019-06-08,12,1
The London,"Young Thug, J. Cole & Travis Scott",2019-06-15,17,1
The London,"Young Thug, J. Cole & Travis Scott",2019-06-22,24,1
The London,"Young Thug, J. Cole & Travis Scott",2019-06-29,26,1
The London,"Young Thug, J. Cole & Travis Scott",2019-07-06,30,1
The London,"Young Thug, J. Cole & Travis Scott",2019-07-13,31,1
The London,"Young Thug, J. Cole & Travis Scott",2019-07-20,29,1
The London,"Young Thug, J. Cole & Travis Scott",2019-07-27,28,1
The London,"Young Thug, J. Cole & Travis Scott",2019-08-03,23,1
The London,"Young Thug, J. Cole & Travis Scott",2019-08-10,28,1
The London,"Young Thug, J. Cole & Travis Scott",2019-08-17,27,1
The London,"Young Thug, J. Cole & Travis Scott",2019-08-24,27,1
The London,"Young Thug, J. Cole & Travis Scott",2019-08-31,21,1
The London,"Young Thug, J. Cole & Travis Scott",2019-09-07,25,1
The London,"Young Thug, J. Cole & Travis Scott",2019-09-14,24,1
The London,"Young Thug, J. Cole & Travis Scott",2019-09-21,36,1
The London,"Young Thug, J. Cole & Travis Scott",2019-09-28,36,1
The London,"Young Thug, J. Cole & Travis Scott",2019-10-05,40,1
The London,"Young Thug, J. Cole & Travis Scott",2019-10-12,50,1
The London,"Young Thug, J. Cole & Travis Scott",2019-10-19,57,1
The Long Way,Brett Eldredge,2018-02-17,93,1
The Long Way,Brett Eldredge,2018-02-24,94,1
The Long Way,Brett Eldredge,2018-03-03,80,1
The Long Way,Brett Eldredge,2018-03-10,75,1
The Long Way,Brett Eldredge,2018-03-17,77,1
The Long Way,Brett Eldredge,2018-03-24,77,1
The Long Way,Brett Eldredge,2018-03-31,74,1
The Long Way,Brett Eldredge,2018-04-07,68,1
The Long Way,Brett Eldredge,2018-04-14,65,1
The Long Way,Brett Eldredge,2018-04-21,71,1
The Long Way,Brett Eldredge,2018-04-28,65,1
The Long Way,Brett Eldredge,2018-05-05,85,1
The Man,Taylor Swift,2019-09-07,23,1
The Man,Taylor Swift,2019-09-14,61,1
The Man,Taylor Swift,2019-09-21,96,1
The Middle,"Zedd, Maren Morris & Grey",2018-02-10,23,1
The Middle,"Zedd, Maren Morris & Grey",2018-02-17,22,1
The Middle,"Zedd, Maren Morris & Grey",2018-02-24,17,1
The Middle,"Zedd, Maren Morris & Grey",2018-03-03,13,1
The Middle,"Zedd, Maren Morris & Grey",2018-03-10,11,1
The Middle,"Zedd, Maren Morris & Grey",2018-03-17,8,1
The Middle,"Zedd, Maren Morris & Grey",2018-03-24,6,1
The Middle,"Zedd, Maren Morris & Grey",2018-03-31,6,1
The Middle,"Zedd, Maren Morris & Grey",2018-04-07,7,1
The Middle,"Zedd, Maren Morris & Grey",2018-04-14,6,1
The Middle,"Zedd, Maren Morris & Grey",2018-04-21,6,1
The Middle,"Zedd, Maren Morris & Grey",2018-04-28,5,1
The Middle,"Zedd, Maren Morris & Grey",2018-05-05,7,1
The Middle,"Zedd, Maren Morris & Grey",2018-05-12,5,1
The Middle,"Zedd, Maren Morris & Grey",2018-05-19,6,1
The Middle,"Zedd, Maren Morris & Grey",2018-05-26,6,1
The Middle,"Zedd, Maren Morris & Grey",2018-06-02,5,1
The Middle,"Zedd, Maren Morris & Grey",2018-06-09,5,1
The Middle,"Zedd, Maren Morris & Grey",2018-06-16,10,1
The Middle,"Zedd, Maren Morris & Grey",2018-06-23,8,1
The Middle,"Zedd, Maren Morris & Grey",2018-06-30,10,1
The Middle,"Zedd, Maren Morris & Grey",2018-07-07,12,1
The Middle,"Zedd, Maren Morris & Grey",2018-07-14,19,1
The Middle,"Zedd, Maren Morris & Grey",2018-07-21,13,1
The Middle,"Zedd, Maren Morris & Grey",2018-07-28,14,1
